Year,State,Vehicle Type,Registrations,EV Share (%),Chargers,FAME II Policy,Monthly Income Bracket (Main Buyer),Age Group,City Type,Psychographic Segment
2014,Delhi,2W,13656,1.01,82,0,40000-60000,36-45,Rural,Practical
2014,Delhi,3W,2274,1.0,86,0,>100000,60+,Urban,Cost-conscious
2014,Delhi,4W,3681,0.28,94,0,40000-60000,60+,Urban,Eco-conscious
2014,Maharashtra,2W,8088,0.45,10,0,40000-60000,36-45,Rural,Tech-savvy
2014,Maharashtra,3W,14689,2.5,53,0,<20000,36-45,Rural,Practical
2014,Maharashtra,4W,2269,0.74,34,0,60000-100000,36-45,Urban,Luxury-focused
2014,Karnataka,2W,9791,1.91,24,0,60000-100000,18-25,Semi-Urban,Tech-savvy
2014,Karnataka,3W,12638,0.32,135,0,40000-60000,60+,Rural,Practical
2014,Karnataka,4W,11278,0.56,61,0,<20000,36-45,Semi-Urban,Practical
2014,Tamil Nadu,2W,9570,1.8,45,0,20000-40000,36-45,Semi-Urban,Cost-conscious
2014,Tamil Nadu,3W,9050,1.13,131,0,40000-60000,18-25,Semi-Urban,Tech-savvy
2014,Tamil Nadu,4W,6469,2.4,91,0,20000-40000,60+,Urban,Eco-conscious
2014,Gujarat,2W,456,1.62,119,0,60000-100000,18-25,Semi-Urban,Luxury-focused
2014,Gujarat,3W,988,0.2,43,0,20000-40000,26-35,Urban,Cost-conscious
2014,Gujarat,4W,9158,1.42,38,0,40000-60000,26-35,Semi-Urban,Eco-conscious
2014,Uttar Pradesh,2W,12235,2.15,71,0,40000-60000,18-25,Rural,Luxury-focused
2014,Uttar Pradesh,3W,433,2.23,101,0,20000-40000,46-60,Rural,Luxury-focused
2014,Uttar Pradesh,4W,11393,0.14,68,0,>100000,18-25,Rural,Cost-conscious
2014,West Bengal,2W,12924,2.1,68,0,40000-60000,26-35,Urban,Cost-conscious
2014,West Bengal,3W,14492,2.36,107,0,>100000,36-45,Semi-Urban,Practical
2014,West Bengal,4W,9564,1.01,125,0,40000-60000,18-25,Urban,Luxury-focused
2014,Rajasthan,2W,5605,1.56,14,0,40000-60000,36-45,Rural,Luxury-focused
2014,Rajasthan,3W,6046,2.33,126,0,40000-60000,46-60,Urban,Cost-conscious
2014,Rajasthan,4W,7434,0.9,31,0,>100000,46-60,Semi-Urban,Eco-conscious
2014,Punjab,2W,13773,0.57,15,0,<20000,18-25,Semi-Urban,Tech-savvy
2014,Punjab,3W,8127,1.04,111,0,20000-40000,26-35,Urban,Cost-conscious
2014,Punjab,4W,10723,1.45,4,0,40000-60000,36-45,Urban,Cost-conscious
2014,Telangana,2W,5141,2.29,63,0,<20000,36-45,Rural,Practical
2014,Telangana,3W,8425,1.43,116,0,20000-40000,46-60,Semi-Urban,Cost-conscious
2014,Telangana,4W,7797,0.7,70,0,>100000,26-35,Urban,Practical
2015,Delhi,2W,6088,0.22,82,0,>100000,60+,Urban,Tech-savvy
2015,Delhi,3W,12929,1.23,144,0,20000-40000,36-45,Rural,Tech-savvy
2015,Delhi,4W,6474,0.79,122,0,20000-40000,18-25,Rural,Luxury-focused
2015,Maharashtra,2W,13084,1.78,110,0,<20000,46-60,Rural,Luxury-focused
2015,Maharashtra,3W,7363,0.52,97,0,40000-60000,36-45,Semi-Urban,Luxury-focused
2015,Maharashtra,4W,12585,2.06,5,0,<20000,18-25,Semi-Urban,Tech-savvy
2015,Karnataka,2W,4283,1.65,110,0,<20000,26-35,Semi-Urban,Eco-conscious
2015,Karnataka,3W,14619,2.43,12,0,20000-40000,60+,Urban,Luxury-focused
2015,Karnataka,4W,1347,1.18,128,0,20000-40000,36-45,Semi-Urban,Eco-conscious
2015,Tamil Nadu,2W,3582,2.24,104,0,20000-40000,36-45,Semi-Urban,Practical
2015,Tamil Nadu,3W,4143,1.19,77,0,60000-100000,60+,Urban,Cost-conscious
2015,Tamil Nadu,4W,4886,1.82,14,0,20000-40000,60+,Semi-Urban,Eco-conscious
2015,Gujarat,2W,7239,1.11,38,0,20000-40000,60+,Urban,Eco-conscious
2015,Gujarat,3W,11393,2.03,7,0,>100000,46-60,Urban,Eco-conscious
2015,Gujarat,4W,10054,1.31,146,0,20000-40000,18-25,Semi-Urban,Tech-savvy
2015,Uttar Pradesh,2W,4292,0.58,123,0,40000-60000,46-60,Semi-Urban,Practical
2015,Uttar Pradesh,3W,8535,2.28,22,0,<20000,46-60,Urban,Practical
2015,Uttar Pradesh,4W,5208,0.14,61,0,20000-40000,60+,Semi-Urban,Practical
2015,West Bengal,2W,7022,1.35,107,0,20000-40000,60+,Rural,Luxury-focused
2015,West Bengal,3W,7128,0.34,82,0,<20000,36-45,Semi-Urban,Tech-savvy
2015,West Bengal,4W,7036,1.65,134,0,40000-60000,60+,Semi-Urban,Practical
2015,Rajasthan,2W,11262,0.84,123,0,20000-40000,46-60,Rural,Practical
2015,Rajasthan,3W,11730,1.12,129,0,<20000,18-25,Semi-Urban,Tech-savvy
2015,Rajasthan,4W,12216,1.18,80,0,>100000,36-45,Semi-Urban,Practical
2015,Punjab,2W,7816,0.83,118,0,40000-60000,60+,Semi-Urban,Eco-conscious
